trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,0,-23.92622485516747,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",30,11,-23.520270275253107,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,0,-110.81636169047958,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,0,-111.62360659033374,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,13,0.012510615190969965,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-1.2484083052863797,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,2,0.15560921324973864,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,3,-206.364920220628,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 4}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",30,0,-58.43281305081139,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-13.781440350513005,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,0,1.6188622871021243,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-28.97363661684522,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,14,-0.012565667845608752,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",35,0,-127.95202475295527,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-68.36911291203778,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-26.249688413250098,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,0,27.134261382841224,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,2,0.9037580991754897,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,9,-15.652927165211032,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,0,-53.89947094351742,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,15,9.973852638273284,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,16,8.34742898147965,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-60.34716791628376,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,0,-18.162487854073973,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,-99.23698912979263,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,6.204918934488381,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-70.29704583584862,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,13,-20.446427764400664,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,11,4.328578000582418,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,5,-30.423588959743707,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,8,7.932426087280614,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,18,-10.618151006660439,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,0,-68.27845421236421,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,15,7.248521705372431,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,0,-50.534523264960846,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
